x,y,z
275.817964,50.918359,50.000000
275.975083,51.516060,50.000000
276.120395,52.116010,50.000000
276.253948,52.718188,50.000000
276.375794,53.322575,50.000000
276.485980,53.929150,50.000000
276.584557,54.537893,50.000000
276.671574,55.148785,50.000000
276.747081,55.761805,50.000000
276.811127,56.376934,50.000000
276.863762,56.994152,50.000000
276.905035,57.613437,50.000000
276.934996,58.234772,50.000000
276.953695,58.858135,50.000000
276.961180,59.483506,50.000000
276.957502,60.110866,50.000000
276.942710,60.740194,50.000000
276.916853,61.371471,50.000000
276.879981,62.004677,50.000000
276.832144,62.639791,50.000000
276.773391,63.276793,50.000000
276.703772,63.915665,50.000000
276.623335,64.556384,50.000000
276.532132,65.198933,50.000000
276.430211,65.843290,50.000000
276.317621,66.489435,50.000000
276.194413,67.137349,50.000000
276.060636,67.787012,50.000000
275.916339,68.438403,50.000000
275.761571,69.091503,50.000000
275.596384,69.746292,50.000000
275.420825,70.402749,50.000000
275.234945,71.060855,50.000000
275.038793,71.720589,50.000000
274.832418,72.381932,50.000000
274.615871,73.044864,50.000000
274.389200,73.709365,50.000000
274.152455,74.375414,50.000000
273.905686,75.042992,50.000000
273.648943,75.712078,50.000000
273.382274,76.382654,50.000000
273.105729,77.054698,50.000000
272.819358,77.728190,50.000000
272.523211,78.403112,50.000000
272.217336,79.079442,50.000000
271.901784,79.757161,50.000000
271.576604,80.436248,50.000000
271.241845,81.116685,50.000000
270.897558,81.798450,50.000000
270.543791,82.481524,50.000000
270.180594,83.165887,50.000000
269.808016,83.851518,50.000000
269.426108,84.538398,50.000000
269.034919,85.226507,50.000000
268.634497,85.915825,50.000000
268.224894,86.606332,50.000000
267.806158,87.298007,50.000000
267.378338,87.990832,50.000000
266.941485,88.684785,50.000000
266.495648,89.379847,50.000000
266.040876,90.075998,50.000000
265.577220,90.773217,50.000000
265.104727,91.471486,50.000000
264.623449,92.170783,50.000000
264.133435,92.871090,50.000000
263.634733,93.572385,50.000000
263.127394,94.274649,50.000000
262.611467,94.977862,50.000000
262.087002,95.682004,50.000000
261.554048,96.387055,50.000000
261.012655,97.092994,50.000000
260.462872,97.799803,50.000000
259.904749,98.507461,50.000000
259.338336,99.215947,50.000000
258.763681,99.925243,50.000000
258.180835,100.635327,50.000000
257.589846,101.346181,50.000000
256.990765,102.057783,50.000000
256.383641,102.770114,50.000000
255.768524,103.483155,50.000000
255.145463,104.196884,50.000000
254.514507,104.911282,50.000000
253.875707,105.626330,50.000000
253.229111,106.342006,50.000000
252.574770,107.058291,50.000000
251.912732,107.775166,50.000000
251.243047,108.492609,50.000000
250.565766,109.210602,50.000000
249.880936,109.929123,50.000000
249.188609,110.648154,50.000000
248.488833,111.367674,50.000000
247.781658,112.087662,50.000000
247.067133,112.808100,50.000000
246.345308,113.528967,50.000000
245.616233,114.250243,50.000000
244.879957,114.971908,50.000000
244.136530,115.693942,50.000000
243.386001,116.416326,50.000000
242.628419,117.139038,50.000000
241.863835,117.862060,50.000000
241.092297,118.585371,49.980957
240.313856,119.308951,49.860431
239.528561,120.032780,49.739316
238.736460,120.756838,49.617614
237.937605,121.481105,49.495330
237.132044,122.205562,49.372467
236.319827,122.930187,49.249029
235.501004,123.654962,49.125020
234.675624,124.379867,49.000443
233.843736,125.104880,48.875303
233.005390,125.829982,48.749603
232.160636,126.555154,48.623347
231.309523,127.280375,48.496540
230.452100,128.005625,48.369185
229.588418,128.730885,48.241287
228.718526,129.456134,48.112849
227.842473,130.181352,47.983876
226.960308,130.906519,47.854372
226.072082,131.631615,47.724342
225.177844,132.356621,47.593789
224.277643,133.081516,47.462718
223.371530,133.806281,47.331133
222.459552,134.530894,47.199039
221.541761,135.255337,47.066440
220.618205,135.979589,46.933341
219.688935,136.703631,46.799746
218.753999,137.427442,46.665659
217.813447,138.151002,46.531086
216.867328,138.874292,46.396030
215.915693,139.597291,46.260497
214.958591,140.319979,46.124491
213.996071,141.042337,45.988017
213.028183,141.764344,45.851079
212.054976,142.485980,45.713682
211.076500,143.207226,45.575830
210.092804,143.928061,45.437530
209.103938,144.648466,45.298785
208.109952,145.368420,45.159600
207.110895,146.087904,45.019980
206.106816,146.806896,44.879930
205.097765,147.525379,44.739455
204.083792,148.243330,44.598559
203.064946,148.960732,44.457249
202.041277,149.677562,44.315527
201.012834,150.393802,44.173400
199.979667,151.109432,44.030873
198.941825,151.824431,43.887950
197.899357,152.538780,43.744636
196.852314,153.252458,43.600937
195.800745,153.965445,43.456858
194.744700,154.677722,43.312403
193.684227,155.389269,43.167578
192.619377,156.100065,43.022388
191.550198,156.810090,42.876837
190.476741,157.519325,42.730932
189.399056,158.227750,42.584676
188.317191,158.935344,42.438076
187.231196,159.642088,42.291136
186.141120,160.347961,42.143862
185.047014,161.052944,41.996259
183.948927,161.757017,41.848332
182.846908,162.460159,41.700086
181.741006,163.162350,41.551526
180.631272,163.863571,41.402659
179.517755,164.563802,41.253488
178.400504,165.263023,41.104019
177.279570,165.961213,40.954258
176.155000,166.658353,40.804210
175.026846,167.354422,40.653879
173.895156,168.049401,40.503273
172.759980,168.743269,40.352394
171.621368,169.436008,40.201250
170.479369,170.127596,40.049845
169.334032,170.818013,39.898185
168.185408,171.507241,39.746275
167.033545,172.195258,39.594121
165.878494,172.882044,39.441727
164.720304,173.567581,39.289099
163.559023,174.251847,39.136243
162.394703,174.934822,38.983164
161.227392,175.616488,38.829867
160.057140,176.296823,38.676358
158.883996,176.975808,38.522642
157.708011,177.653423,38.368725
156.529233,178.329647,38.214612
155.347712,179.004462,38.060308
154.163497,179.677846,37.905819
152.976639,180.349779,37.751151
151.787186,181.020243,37.596308
150.595189,181.689216,37.441297
149.400696,182.356680,37.286122
148.203758,183.022612,37.130790
147.004423,183.686995,36.975305
145.802741,184.349808,36.819674
144.598763,185.011030,36.663902
143.392537,185.670642,36.507993
142.184112,186.328625,36.351955
140.973539,186.984956,36.195792
139.760868,187.639618,36.039509
138.546146,188.292590,35.883113
137.329425,188.943851,35.726608
136.110753,189.593383,35.570001
134.890181,190.241164,35.413297
133.667757,190.887175,35.256501
132.443531,191.531396,35.099619
131.217553,192.173807,34.942657
129.989872,192.814388,34.785619
128.760538,193.453119,34.628513
127.529600,194.089979,34.471342
126.297108,194.724950,34.314113
125.063112,195.358011,34.156832
123.827660,195.989141,33.999503
122.590803,196.618322,33.842133
121.352590,197.245532,33.684726
120.113070,197.870753,33.527290
118.872293,198.493963,33.369828
117.630309,199.115143,33.212347
116.387167,199.734274,33.054853
115.142917,200.351334,32.897350
113.897608,200.966304,32.739845
112.651289,201.579165,32.582343
111.404011,202.189895,32.424850
110.155823,202.798476,32.267371
108.906774,203.404886,32.109912
107.656913,204.009107,31.955323
106.406291,204.611117,31.807344
105.154957,205.210898,31.659400
103.902961,205.808429,31.511495
102.650351,206.403689,31.363636
101.397178,206.996660,31.215827
100.143491,207.587321,31.068073
98.889339,208.175652,30.920380
97.634773,208.761633,30.772754
96.379841,209.345245,30.625198
95.124594,209.926466,30.477720
93.869080,210.505277,30.330323
92.613349,211.081659,30.183014
91.357451,211.655591,30.035797
90.101435,212.227053,29.888679
88.845352,212.796025,29.741663
87.589249,213.362487,29.594756
86.333178,213.926419,29.447962
85.077187,214.487802,29.301287
83.821326,215.046614,29.154737
82.565644,215.602837,29.008316
81.310191,216.156450,28.862030
80.055017,216.707434,28.715884
78.800171,217.255767,28.569883
77.545703,217.801431,28.424033
76.291662,218.344405,28.278339
75.038098,218.884669,28.132806
73.785059,219.422204,27.987440
72.532597,219.956988,27.842246
71.280760,220.489003,27.697228
70.029597,221.018228,27.552393
68.779159,221.544644,27.407746
67.529495,222.068230,27.263291
66.280655,222.588966,27.119034
65.032687,223.106832,26.974981
63.785642,223.621809,26.831137
62.539569,224.133875,26.687507
61.294517,224.643013,26.544096
60.050537,225.149200,26.400909
58.807677,225.652418,26.257953
57.565987,226.152646,26.115231
56.325517,226.649865,25.972749
55.086316,227.144054,25.830514
53.848434,227.635193,25.688529
52.611920,228.123263,25.546800
51.376824,228.608243,25.405332
50.143196,229.090113,25.264131
48.911084,229.568854,25.123202
47.680539,230.044445,24.982549
46.451609,230.516867,24.842180
45.224346,230.986098,24.702097
43.998797,231.452121,24.562308
42.775012,231.914914,24.422816
41.553042,232.374457,24.283628
40.332936,232.830731,24.144748
39.114742,233.283715,24.006181
37.898512,233.733389,23.867934
36.684293,234.179734,23.730010
35.472136,234.622730,23.592416
34.262091,235.062356,23.455157
33.054206,235.498592,23.318237
31.848532,235.931419,23.181662
30.645117,236.360816,23.045437
29.444012,236.786764,22.909567
28.245266,237.209243,22.774058
27.048929,237.628232,22.638914
25.855049,238.043711,22.504141
24.663677,238.455661,22.369744
23.474862,238.864062,22.235728
22.288654,239.268893,22.102098
21.105102,239.670134,21.968859
19.924255,240.067767,21.836017
18.746164,240.461769,21.703577
17.570878,240.852123,21.571543
16.398445,241.238807,21.439921
15.228917,241.621801,21.308716
14.062342,242.001086,21.177933
12.898770,242.376642,21.047577
11.738250,242.748448,20.917654
10.580832,243.116485,20.788167
9.426566,243.480733,20.659123
8.275500,243.841171,20.530526
7.127685,244.197780,20.402382
5.983171,244.550539,20.274695
4.842006,244.899429,20.147470
3.704240,245.244430,20.020713
2.569922,245.585522,19.894429
1.439103,245.922684,19.768622
0.311832,246.255897,19.643297
-0.811842,246.585140,19.518460
-1.931870,246.910394,19.394115
-3.048201,247.231639,19.270267
-4.160786,247.548855,19.146922
-5.269575,247.862021,19.024084
-6.374520,248.171118,18.901757
-7.475570,248.476126,18.779948
-8.572676,248.777025,18.658661
-9.665789,249.073794,18.537900
-10.754859,249.366414,18.417670
-11.839836,249.654865,18.297977
-12.920671,249.939127,18.178825
-13.997314,250.219179,18.060219
-15.069716,250.495002,17.942164
-16.137827,250.766576,17.824664
-17.201598,251.033881,17.707724
-18.260980,251.296896,17.591349
-19.315921,251.555603,17.475544
-20.366374,251.809980,17.360313
-21.412289,252.060008,17.245661
-22.453616,252.305667,17.131592
-23.490305,252.546937,17.018112
-24.522307,252.783797,16.905224
-25.549573,253.016229,16.792934
-26.572052,253.244211,16.681245
-27.589696,253.467724,16.570163
-28.602455,253.686748,16.459691
-29.610279,253.901263,16.349835
-30.613119,254.111249,16.240599
-31.610926,254.316686,16.131986
-32.603649,254.517553,16.024002
-33.591239,254.713832,15.916651
-34.573647,254.905501,15.809936
-35.550823,255.092542,15.703864
-36.522718,255.274933,15.598436
-37.489281,255.452655,15.493658
-38.450464,255.625689,15.389535
-39.406218,255.794013,15.286069
-40.356491,255.957608,15.183265
-41.301236,256.116454,15.081127
-42.240402,256.270531,14.979659
-43.173940,256.419820,14.878865
-44.101800,256.564299,14.778750
-45.023933,256.703949,14.679315
-45.940290,256.838750,14.580567
-46.850820,256.968682,14.482507
-47.755474,257.093725,14.385140
-48.654203,257.213860,14.288470
-49.546957,257.329065,14.192500
-50.433687,257.439321,14.097233
-51.314343,257.544609,14.002673
-52.188875,257.644907,13.908824
-53.057235,257.740197,13.815688
-53.919371,257.830457,13.723269
-54.775236,257.915669,13.631570
-55.624779,257.995812,13.540593
-56.467951,258.070865,13.450343
-57.304703,258.140810,13.360822
-58.134984,258.205627,13.272032
-58.958746,258.265294,13.183976
-59.775938,258.319792,13.096658
-60.586511,258.369102,13.010079
-61.390416,258.413202,12.924242
-62.187604,258.452074,12.839148
-62.978024,258.485697,12.754802
-63.761627,258.514051,12.671203
-64.538363,258.537116,12.588355
-65.308184,258.554873,12.506259
-66.071039,258.567300,12.424916
-66.826879,258.574379,12.344329
-67.575654,258.576089,12.264498
-68.317315,258.572410,12.185424
-69.051813,258.563323,12.107110
-69.779097,258.548806,12.029555
-70.499119,258.528841,11.952760
-71.211829,258.503407,11.876726
-71.917176,258.472485,11.801454
-72.615113,258.436053,11.726942
-73.305588,258.394093,11.653191
-73.988553,258.346585,11.580201
-74.663959,258.293507,11.507970
-75.331754,258.234841,11.436499
-75.991891,258.170566,11.365786
-76.644320,258.100662,11.295829
-77.288990,258.025110,11.226627
-77.925852,257.943888,11.158178
-78.554858,257.856979,11.090479
-79.175957,257.764360,11.023529
-79.789100,257.666013,10.957323
-80.394237,257.561917,10.891859
-80.991318,257.452053,10.827132
-81.580295,257.336400,10.763139
-82.161118,257.214938,10.699875
-82.733737,257.087648,10.637335
-83.298103,256.954509,10.575514
-83.854165,256.815501,10.514405
-84.401875,256.670605,10.454002
-84.941183,256.519800,10.394298
-85.472040,256.363067,10.335285
-85.994396,256.200385,10.276956
-86.508201,256.031734,10.219301
-87.013406,255.857095,10.162311
-87.509961,255.676448,10.105976
-87.997817,255.489771,10.050286
-88.476924,255.297047,10.005027
-88.947234,255.098253,10.062371
-89.408695,254.893371,10.119076
-89.861259,254.682381,10.175155
-90.304876,254.465262,10.230624
